Kategorie	Mapping nach	Mapping von 1	Mapping von 2	Mapping von 3	usw. ...																							
Anwendung	Agile Methoden	Agile Methoden	Extreme Programming																									
Anwendung	Automation Systems	Automation Systems																										
Anwendung	Bahntechnik	Bahntechnik																										
Anwendung	Client Infrastructure	Client Infrastructure																										
Anwendung	Control Systems	Control Systems																										
Anwendung	E-Commerce	E-Commerce																										
Anwendung	Electronic Payments	Electronic Payments																										
Anwendung	Embedded Systems	Embedded Systems																										
Anwendung	Enterprise Resource Planning	Enterprise Resource Planning																										
Anwendung	Information Management	Information Management																										
Anwendung	Information Systems	Information Systems																										
Anwendung	Innovation Management	Innovation Management																										
Anwendung	Laboratory software	Laboratory software																										
Anwendung	Machine Control Systems	Machine Control Systems																										
Anwendung	Measuring Systems	Measuring Systems																										
Anwendung	Migration	Migration																										
Anwendung	Mobile Computing	Mobile Computing																										
Anwendung	Noch nicht definiert	Noch nicht definiert																										
Anwendung	PDM / PLM	PDM / PLM																										
Anwendung	Product Testing	Product Testing																										
Anwendung	Rich Client Application	Rich Client Application																										
Anwendung	Rich Internet Applications	Rich Internet Applications																										
Anwendung	Sensors/Signal Processing	Sensors/Signal Processing																										
Fokus	Management Consulting	Management Consulting																										
Fokus	Product Innovation	Product Innovation																										
Fokus	Software Solutions	Software Solutions																										
Kunde	?	?																										
Kunde	@Rating	@Rating																										
Kunde	Aareal	Aareal																										
Kunde	ABB	ABB																										
Kunde	Abraxas	Abraxas																										
Kunde	Acutronic	Acutronic																										
Kunde	affilinet	affilinet																										
Kunde	AfU	AfU																										
Kunde	Agfa	Agfa																										
Kunde	Alphasem	Alphasem																										
Kunde	Alstom	Alstom																										
Kunde	Ammann	Ammann																										
Kunde	Apag	Apag																										
Kunde	Ascom	Ascom																										
Kunde	Ascom/Neopost	Ascom/Neopost																										
Kunde	ASTRA	ASTRA																										
Kunde	atraxis	atraxis																										
Kunde	Avaloq	Avaloq																										
Kunde	AxAir	AxAir																										
Kunde	Axpo	Axpo																										
Kunde	B. Braun	B. Braun																										
Kunde	Basler Versicherungen	Basler Versicherungen																										
Kunde	BBT/RVK	BBT/RVK																										
Kunde	Belimo	Belimo																										
Kunde	Berchtold	Berchtold																										
Kunde	Bernina	Bernina																										
Kunde	Betty Bossi	Betty Bossi																										
Kunde	Bibliotheca	Bibliotheca																										
Kunde	Bionas	Bionas																										
Kunde	BKW FMB Energie AG	BKW FMB Energie AG																										
Kunde	Bluewin	Bluewin																										
Kunde	Bosch	Bosch																										
Kunde	Braun	Braun																										
Kunde	Brita	Brita																										
Kunde	British Airways	British Airways																										
Kunde	bsquare	bsquare																										
Kunde	Bucher	Bucher																										
Kunde	BVK	BVK																										
Kunde	Bystronic	Bystronic																										
Kunde	Chemspeed	Chemspeed																										
Kunde	Clariant	Clariant																										
Kunde	Cochlear Acoustics	Cochlear Acoustics																										
Kunde	Comsys	Comsys																										
Kunde	Corris Fundraising	Corris Fundraising																										
Kunde	CS	CS																										
Kunde	CSFS	CSFS																										
Kunde	CSS	CSS																										
Kunde	Dacuda	Dacuda																										
Kunde	Daetwyler	Daetwyler																										
Kunde	Darby Group	Darby Group																										
Kunde	Datacon	Datacon																										
Kunde	De Sede	De Sede																										
Kunde	Delta Energy Systems	Delta Energy Systems																										
Kunde	DG Bank	DG Bank																										
Kunde	Diebold	Diebold																										
Kunde	Dornier	Dornier																										
Kunde	Dreyfus	Dreyfus																										
Kunde	DSwiss	DSwiss																										
Kunde	Duagon	Duagon																										
Kunde	DVAG	DVAG																										
Kunde	DZ Bank	DZ Bank																										
Kunde	Egro	Egro																										
Kunde	EJPD	EJPD																										
Kunde	Encontrol	Encontrol																										
Kunde	Enermet	Enermet																										
Kunde	ep2	ep2																										
Kunde	Erdgas Zürich	Erdgas Zürich																										
Kunde	ESEC	ESEC																										
Kunde	ETH	ETH																										
Kunde	etrans	etrans																										
Kunde	Europay	Europay																										
Kunde	FIFA	FIFA																										
Kunde	Finanzdepartement Basel	Finanzdepartement Basel																										
Kunde	Five Informatik	Five Informatik																										
Kunde	GE Money Bank	GE Money Bank																										
Kunde	Geberit	Geberit																										
Kunde	Geneva Logistics Group	Geneva Logistics Group																										
Kunde	Georg Fischer Piping Systems	Georg Fischer Piping Systems																										
Kunde	GETEC	GETEC																										
Kunde	Giesecke & Devrient	Giesecke & Devrient																										
Kunde	Gretag	Gretag																										
Kunde	Grundig	Grundig																										
Kunde	Hamilton	Hamilton																										
Kunde	Häni-Prolectron AG	Häni-Prolectron AG																										
Kunde	Hapimag	Hapimag																										
Kunde	Haufe-Lexware	Haufe-Lexware																										
Kunde	Hekatron	Hekatron																										
Kunde	Heptagon	Heptagon																										
Kunde	Hochbaudepartement Stadt Zürich	Hochbaudepartement Stadt Zürich																										
Kunde	Homag Holzbearbeitungssysteme	Homag Holzbearbeitungssysteme																										
Kunde	Hunkeler	Hunkeler																										
Kunde	HYPO Capital Management AG	HYPO Capital Management AG																										
Kunde	HypoVereinsbank	HypoVereinsbank																										
Kunde	IBS	IBS																										
Kunde	Imaging Solutions	Imaging Solutions																										
Kunde	in-Luft	in-Luft																										
Kunde	Inficon	Inficon																										
Kunde	inNet	inNet																										
Kunde	Innovation Group	Innovation Group																										
Kunde	Intamin	Intamin																										
Kunde	internal project	internal project																										
Kunde	Ismatec	Ismatec																										
Kunde	Ista	Ista																										
Kunde	Ivoclar	Ivoclar																										
Kunde	IWB	IWB																										
