No.;PN Title;Content;Sector;Customer;Focus;Services;Technology;Application;Tools;Published;Presentation;Author;Name;Project;Modified By;Modified;Item Type;Path
631;Audit einer IT-Infrastruktur und Organisation;In einem externen Audit untersucht ZÅhlke die IT und die Organisationsstruktur in Bezug auf Zukunftssicherheit, Betriebssicherheit, Ausfallssicherheit und strategische Ausrichtung sowie auf organisatorische VersÑumnisse.;Banking & Financial Services;HYPO Capital Management AG;Software Solutions;"_ Technology Consulting;#__ Technology Consultation;#__ Technology Expertise;#_ Methodology;#__ ZAAF";;;;15.07.2011;;"may;tkr";pn_631_d_audit_it-infrastruktur_zrh.pdf;13174;Martin, Elisabeth;15.07.2011 12:11;Item;services/bd/pn/Project Notes published
630;Mehr ProduktivitÑt mit Speed Creation;"Ein Projekt von Swisscom IT Services steht unter Zeitdruck. Nach einem Speed Creation Workshop mit ZÅhlke sind die Voraussetzungen fÅr die Umsetzung erarbeitet und ein starkes Team mit gro·em Engagement geformt.
";Telecommunications;Swisscom;Management Consulting;"Consulting;#_ Management Consulting;#__ Business Process Management;#__ Change Management";;;;15.07.2011;;krs;pn_630_d_speed-creation-projektgruppe_zrh.pdf;;Martin, Elisabeth;15.07.2011 12:33;Item;services/bd/pn/Project Notes published
629;Neues Serviceportal sorgt fÅr zufriedene GeschÑftskunden;Swisscom erweitert die Lîsung fÅr Privatkunden mit einem Kundencenter fÅr GeschÑftskunden. ZÅhlke erhÑlt den Auftrag, den dazu nîtigen Umbau im gesteckten Zeitrahmen umzusetzen und optimiert die SoftwarequalitÑt.;Telecommunications;Swisscom;Software Solutions;"Development;#_ Software solutions;#__ Development support";Java EE;Information Systems;"Eclipse;#Java Enterprise Edition;#Oracle;#SOAP;#XSL";15.08.2011;;;pn_629_d_portal_geschaeftskunden_zrh.pdf;;Martin, Elisabeth;15.08.2011 15:41;Item;services/bd/pn/Project Notes published
628;Einweg-Lebensmittelverpackung integriert mehrere Funktionen;"Von der Idee in die Serie - ZÅhlke entwickelt fÅr BRITA in kurzer Zeit eine funktionale Sirup-Verpackung fÅr die neue Produktlinie""yource"". Die Kapseln dosieren den Inhalt und unterliegen inzwischen einem Patentschutz.";Devices & Apparatus;Brita;Product Innovation;"Development;#_ Product innovation;#__ Simulation & Calculation";Plastics Technology;;"SolidWorks;#Flow Simulation (Solid Works)";19.08.2011;;csc;pn_628_d_kapsel_wasserspender_zrh.pdf;C12541;Martin, Elisabeth;11.08.2011 13:50;Item;services/bd/pn/Project Notes published
625;Entwickelt fÅr den Weltmarkt: yource-Maschine;"Von der Idee bis zur Serienproduktion - das Entwicklungs-Know-how von ZÅhlke ermîglicht es BRITA, die neue Produktlinie ""yource"" wie geplant im Markt einzufÅhren. ZÅhlke Åbernimmt die Gesamtentwicklung. ";Devices & Apparatus;Brita;Product Innovation;"Consulting;#_ Methodology;#__ Innovation technology;#__ Usability;#__ Requirements Engineering;#Development;#_ Product innovation;#__ Product development";;;"ANSYS;#FRED;#LabVIEW;#SolidWorks;#IAR Embedded Workbench; Altium; Mathcad";11.08.2011;;"csc;jbi";pn_625_d_wasserspender_zrh.pdf;C12303;Martin, Elisabeth;11.08.2011 13:50;Item;services/bd/pn/Project Notes published
624;Neue Rezepte fÅr innovative Produkte;Betty Bossi erweitert ihr Angebot stÑndig. Der neue, ma·geschneiderte Innovationsprozess unterstÅtzt die effiziente Realisierung von Produktinnovationen sowie die Optimierung von Handelswaren.;Trade & Wholesale Trade;Betty Bossi;Management Consulting;"Consulting;#_ Management Consulting;#__ Business Opportunities;#__ Business Process Management;#_ Methodology;#__ Innovation technology;#__ Product Development Process;#_ Team Training";;;;15.06.2011;;mud;pn_624_d_rezepte_innovationen_zrh.pdf;C13169;Martin, Elisabeth;15.06.2011 10:32;Item;services/bd/pn/Project Notes published
621;Sicherer Web-Auftritt dank regelmÑ·iger Sicherheitstests;Ein weltweit fÅhrendes Logistikunternehmen erarbeitet mit ZÅhlke einen sicherheitstechnischen Vorsprung vor Bedrohungen aus dem Internet. Mit regelmÑ·igen öberprÅfungen wird dieser Vorsprung gehalten und ausgebaut.;Transportation & Logistics;neutral;Software Solutions;"Consulting;#_ Technology Consulting;#__ Security;#__ Technology Consultation";Web Services;Information Systems;"HTML;#IIS;#Java Script;#Linux;#Windows";07.06.2011;;ekw;pn_621_d_website-sicherheit_zrh.pdf;11352;Martin, Elisabeth;11.07.2011 11:43;Item;services/bd/pn/Project Notes published
620;Web-Applikation mit eingebauter Sicherheit;ZÅhlke begleitet die Entwicklung einer Web-Applikation mit einem Programmierworkshop und einer SicherheitsÅberprÅfung. So erreicht der Hersteller eine hohe Angriffsresistenz des fertigen Produktes.;SW Products & Services;Haufe-Lexware;Software Solutions;"Consulting;#_ Technology Consulting;#__ Security;#_ Methodology;#__ Software-Testing;#__ Quality assurance";"Java EE;#Web Services";Information Systems;"HTML;#Java Enterprise Edition;#Java Script;#Linux;#Perl;#Struts;#Windows";06.06.2011;;ekw;pn_620_d_webapplikation_sicherheit_zrh.pdf;12579;Martin, Elisabeth;11.07.2011 11:43;Item;services/bd/pn/Project Notes published
619;Bereit fÅr die Zukunft mit neuem Betriebssystem;Ein Telekom-Controller soll auch in Zukunft alle Anforderungen erfÅllen. ZÅhlke berÑt und begleitet das Entwicklerteam und meistert mit ihm die Herausforderungen, die der Betriebssystemwechsel auf Embedded Linux bringt.;Devices & Apparatus;Delta Energy Systems;Software Solutions;"Development;#_ Software solutions;#__ Development support";Real-Time and Embedded Software;Embedded Systems;"C++;#Linux;#Eclipse CDT; Jenkins; Boost; cppunit";15.06.2011;;mmo;pn_619_d_embedded-portierung_controller_zrh.pdf;c13918;Martin, Elisabeth;21.06.2011 15:25;Item;services/bd/pn/Project Notes published
616;Die Scannung mit der Maus;Ein Start-up revolutioniert die Bilderfassung und erfindet das Scan-Erlebnis. Um einen Lizenznehmer zu finden, wird neben der Softwarelîsung auch eine Maus benîtigt, die intuitiv scannen kann. Ein Fall fÅr ZÅhlke.;Devices & Apparatus;Dacuda;Product Innovation;"Development;#__ Building Prototypes;#__ Simulation & Calculation";"Plastics Technology;#Optics";;"FRED;#SolidWorks";20.06.2011;;lus;pn_616_d_scanmaus_zrh.pdf;c12150;Martin, Elisabeth;04.07.2011 11:33;Item;services/bd/pn/Project Notes published
